Start;Type;HandlingTime
14:36:15.024;INEM;707.101
14:36:16.186;INEM;219.033
14:36:16.294;112;80.858
14:36:19.031;INEM;406.472
14:36:19.677;INEM;56.399
14:36:23.862;112;17.867
14:36:24.201;112;468.179
14:36:28.729;INEM;75.564
14:36:34.706;INEM;97.680
14:36:41.701;112;177.048
14:36:43.582;112;12.993
14:36:45.548;INEM;345.375
14:36:46.946;INEM;937.444
14:36:47.369;INEM;768.682
14:36:47.702;INEM;58.331
14:36:48.141;INEM;945.234
14:36:48.192;INEM;173.073
14:36:53.080;INEM;156.765
14:36:53.663;INEM;202.304
14:36:55.228;INEM;62.905
14:36:58.707;INEM;205.467
14:37:00.525;112;103.230
14:37:01.115;112;78.776
14:37:03.954;INEM;81.932
14:37:06.379;INEM;109.919
14:37:08.402;INEM;743.703
14:37:15.963;INEM;156.723
14:37:16.303;INEM;699.522
14:37:16.688;INEM;132.956
14:37:18.498;INEM;114.773
14:37:20.215;INEM;28.222
14:37:22.771;INEM;388.179
14:37:23.910;INEM;25.105
14:37:26.643;INEM;483.284
14:37:32.995;INEM;280.661
14:37:33.016;112;176.395
14:37:33.912;INEM;109.562
14:37:33.965;INEM;124.191
14:37:34.086;INEM;103.939
14:37:34.791;INEM;198.535
14:37:37.495;INEM;220.305
14:37:38.453;112;88.155
14:37:39.041;INEM;312.809
14:37:47.717;112;79.134
14:37:52.974;INEM;162.778
14:37:53.022;INEM;113.458
14:37:53.190;INEM;11.974
14:37:53.190;INEM;137.070
14:37:57.368;INEM;254.560
14:37:57.859;INEM;537.345
14:37:59.512;INEM;20.892
14:37:59.752;INEM;309.969
14:38:01.817;INEM;27.524
14:38:02.629;INEM;47.849
14:38:03.021;112;13.944
14:38:04.931;INEM;285.203
14:38:05.054;112;38.905
14:38:06.741;112;32.509
14:38:07.361;INEM;1.857
14:38:13.452;INEM;141.207
14:38:13.578;112;13.723
14:38:13.873;INEM;292.261
14:38:14.473;INEM;178.064
14:38:20.517;INEM;120.236
14:38:23.744;INEM;36.773
14:38:24.093;INEM;147.162
14:38:24.864;INEM;298.849
14:38:28.814;INEM;29.739
14:38:32.738;INEM;15.184
14:38:34.576;INEM;9.061
14:38:35.723;INEM;557.991
14:38:39.998;INEM;397.870
14:38:40.683;INEM;155.928
14:38:42.301;INEM;553.377
14:38:42.343;INEM;223.272
14:38:45.935;INEM;398.414
14:38:46.106;112;284.090
14:38:53.587;INEM;16.875
14:38:53.590;112;151.039
14:38:56.698;INEM;195.186
14:38:56.985;112;63.295
14:38:58.422;112;156.319
14:39:01.246;INEM;261.811
14:39:06.056;INEM;166.870
14:39:06.524;112;91.435
14:39:12.018;112;173.183
14:39:18.335;INEM;197.179
14:39:18.679;INEM;139.121
14:39:19.081;INEM;39.581
14:39:20.670;112;145.066
14:39:27.794;INEM;13.548
14:39:27.795;INEM;197.254
14:39:29.660;112;34.941
14:39:32.212;INEM;520.518
14:39:37.852;INEM;14.519
14:39:42.780;INEM;53.688
14:39:43.755;INEM;1.134
14:39:46.873;112;39.104
14:39:54.136;INEM;295.138
14:39:54.708;INEM;179.824
14:39:55.924;INEM;335.141
14:40:07.476;112;119.780
14:40:08.878;INEM;579.103
14:40:14.866;INEM;1140.827
14:40:16.374;INEM;0.937
14:40:20.672;INEM;293.386
14:40:26.233;INEM;67.360
14:40:26.750;INEM;78.332
14:40:29.563;INEM;127.197
14:40:29.857;INEM;163.539
14:40:31.095;INEM;90.838
14:40:44.963;INEM;7.485
14:40:45.064;INEM;85.319
14:40:45.871;112;172.943
14:40:48.400;INEM;41.700
14:40:55.688;INEM;367.881
14:41:01.053;INEM;442.447
14:41:03.910;INEM;293.737
14:41:05.439;INEM;38.522
14:41:07.802;112;178.169
14:41:15.061;INEM;125.302
14:41:17.275;INEM;185.710
14:41:17.690;INEM;907.329
14:41:19.435;INEM;273.493
14:41:19.549;INEM;40.287
14:41:21.423;INEM;89.908
14:41:22.130;112;81.713
14:41:24.572;INEM;13.484
14:41:27.455;INEM;238.337
14:41:33.281;INEM;201.461
14:41:34.256;INEM;173.142
14:41:36.383;INEM;281.577
14:41:40.221;INEM;158.756
14:41:41.354;INEM;99.312
14:41:45.500;INEM;9.509
14:41:51.124;INEM;551.740
14:41:51.958;INEM;12.802
14:41:52.744;112;78.896
14:41:53.906;INEM;46.523
14:41:56.749;INEM;261.001
14:41:57.143;INEM;294.225
14:41:58.713;INEM;156.169
14:41:58.908;INEM;197.519
14:42:00.773;INEM;114.682
14:42:02.670;112;64.767
14:42:05.041;INEM;847.856
14:42:06.439;INEM;550.994
14:42:12.769;INEM;11.833
14:42:19.438;INEM;430.294
14:42:24.674;112;262.983
14:42:29.447;INEM;16.026
14:42:29.580;112;22.474
14:42:30.485;INEM;642.196
14:42:37.220;INEM;321.247
14:42:37.322;INEM;305.543
14:42:39.237;INEM;182.923
14:42:40.191;112;372.995
14:42:44.342;INEM;261.010
14:42:45.341;INEM;39.593
14:42:47.294;112;159.235
14:42:50.499;INEM;303.277
14:42:52.914;INEM;117.247
14:42:52.944;INEM;55.354
14:42:56.078;INEM;148.579
14:42:59.276;INEM;215.100
14:43:02.452;INEM;5.463
14:43:07.239;INEM;584.480
14:43:07.913;INEM;111.870
14:43:08.864;INEM;316.741
14:43:09.605;INEM;303.541
14:43:10.751;INEM;1885.537
14:43:13.479;INEM;795.781
14:43:16.745;112;347.036
14:43:17.350;112;3.725
14:43:19.176;INEM;270.580
14:43:19.229;INEM;146.558
14:43:22.250;INEM;404.832
14:43:22.599;INEM;92.820
14:43:22.677;INEM;193.979
14:43:23.790;INEM;103.453
14:43:25.333;112;10.065
14:43:27.339;112;94.311
14:43:28.896;INEM;202.345
14:43:36.646;112;39.448
14:43:36.800;INEM;240.237
14:43:38.796;INEM;190.474
14:43:40.618;INEM;85.638
14:43:41.722;112;21.383
14:43:42.248;INEM;76.332
14:43:45.806;INEM;222.923
14:43:46.399;INEM;11.159
14:43:52.503;INEM;119.208
14:43:57.674;112;96.931
14:43:59.901;112;150.491
14:44:02.218;INEM;326.164
14:44:02.571;INEM;82.329
14:44:08.355;INEM;512.238
14:44:10.215;INEM;217.300
14:44:11.910;INEM;110.819
14:44:15.182;INEM;2.972
14:44:16.275;112;21.566
14:44:16.779;INEM;185.609
14:44:19.460;INEM;138.999
14:44:21.829;INEM;3.893
14:44:23.412;112;57.046
14:44:24.883;INEM;352.091
14:44:26.734;INEM;285.609
14:44:29.960;INEM;386.419
14:44:30.839;INEM;1009.548
14:44:31.757;INEM;352.712
14:44:32.174;112;6.474
14:44:32.741;INEM;49.900
14:44:34.130;112;49.638
14:44:36.314;INEM;129.024
14:44:37.678;INEM;176.255
14:44:40.257;INEM;72.687
14:44:40.896;INEM;188.450
14:44:43.711;INEM;34.664
14:44:47.785;INEM;733.959
14:44:52.489;INEM;156.187
14:44:54.233;112;111.159
14:44:56.094;112;200.917
14:44:57.588;INEM;504.672
14:45:01.466;INEM;365.399
14:45:04.348;INEM;447.284
14:45:05.970;INEM;607.418
14:45:07.143;INEM;130.560
14:45:07.196;INEM;110.359
14:45:07.837;112;44.678
14:45:11.960;INEM;299.654
14:45:17.498;INEM;5.811
14:45:18.279;INEM;143.803
14:45:18.868;112;7.528
14:45:19.155;INEM;294.847
14:45:19.177;112;41.257
14:45:21.127;INEM;17.736
14:45:22.668;112;0.463
14:45:24.606;112;405.223
14:45:25.745;112;151.958
14:45:26.626;INEM;93.886
14:45:27.019;INEM;37.103
14:45:27.098;INEM;283.209
14:45:32.170;INEM;104.126
14:45:32.906;INEM;309.076
14:45:36.532;112;77.807
14:45:36.902;INEM;28.301
14:45:38.601;INEM;217.697
14:45:42.004;INEM;8.147
14:45:51.487;INEM;152.703
14:45:57.351;112;71.132
14:45:57.557;INEM;97.380
14:46:00.290;112;10.121
14:46:01.910;INEM;399.792
14:46:02.002;INEM;221.904
14:46:03.596;112;162.861
14:46:04.068;INEM;94.154
14:46:05.046;INEM;504.443
14:46:11.188;INEM;7.804
14:46:14.308;INEM;8.648
14:46:19.815;INEM;21.480
14:46:23.920;INEM;33.549
14:46:24.292;INEM;21.046
14:46:27.534;INEM;8.689
14:46:27.588;INEM;531.984
14:46:29.071;112;353.821
14:46:39.056;112;32.786
14:46:40.953;INEM;164.862
14:46:41.945;INEM;365.405
14:46:43.875;INEM;413.002
14:46:47.606;112;197.183
14:46:48.941;INEM;47.419
14:46:52.448;INEM;436.587
14:46:52.516;INEM;24.096
14:46:52.728;INEM;270.765
14:46:54.077;INEM;208.571
14:46:56.273;INEM;32.063
14:47:00.878;INEM;506.524
14:47:02.133;112;30.545
14:47:04.654;INEM;446.540
14:47:09.145;INEM;138.625
14:47:10.815;112;59.342
14:47:11.015;INEM;114.010
14:47:12.828;INEM;90.379
14:47:15.235;INEM;212.309
14:47:20.371;112;372.653
14:47:21.719;112;34.639
14:47:23.397;INEM;174.127
14:47:25.495;INEM;312.011
14:47:26.250;112;19.728
14:47:26.706;INEM;48.488
14:47:27.503;INEM;10.696
14:47:29.940;INEM;212.169
14:47:30.993;112;525.753
14:47:33.602;112;21.387
14:47:35.721;INEM;69.402
14:47:36.261;INEM;174.329
14:47:36.795;INEM;212.348
14:47:37.086;112;67.296
14:47:41.659;INEM;145.957
14:47:42.016;INEM;609.902
14:47:42.869;INEM;575.253
14:47:43.965;INEM;642.083
14:47:45.508;112;56.262
14:47:48.942;112;179.391
14:47:53.274;INEM;20.764
14:47:54.990;INEM;117.677
14:47:57.118;INEM;81.104
14:47:59.100;INEM;133.009
14:47:59.839;INEM;325.432
14:47:59.985;INEM;14.867
14:48:00.389;112;443.874
14:48:01.449;INEM;360.486
14:48:01.979;INEM;212.871
14:48:02.262;INEM;252.101
14:48:03.350;INEM;41.860
14:48:06.133;INEM;587.464
14:48:10.046;INEM;114.509
14:48:12.065;INEM;98.183
14:48:18.954;INEM;544.002
14:48:21.090;INEM;325.117
14:48:24.650;INEM;227.762
14:48:26.917;112;158.881
14:48:28.567;112;198.535
14:48:29.089;112;377.370
14:48:35.351;INEM;35.269
14:48:36.466;INEM;115.799
14:48:39.956;INEM;141.798
14:48:41.030;INEM;79.907
14:48:45.353;INEM;179.487
14:48:46.492;INEM;39.134
14:48:48.277;INEM;426.105
14:48:48.843;INEM;152.498
14:48:51.427;INEM;34.380
14:48:54.605;112;14.854
14:48:54.761;INEM;8.948
14:49:01.914;112;26.253
14:49:05.407;INEM;666.453
14:49:08.718;INEM;41.631
14:49:09.149;INEM;223.008
14:49:10.506;112;121.819
14:49:12.376;INEM;1202.546
14:49:14.387;INEM;184.416
14:49:15.718;112;154.019
14:49:17.029;INEM;489.168
14:49:20.680;INEM;230.064
14:49:21.448;INEM;354.431
14:49:23.673;INEM;353.185
14:49:24.465;INEM;190.710
14:49:27.832;INEM;332.147
14:49:28.256;112;42.947
14:49:38.384;112;50.970
14:49:39.511;112;39.885
14:49:43.741;112;1.528
14:49:47.834;INEM;14.185
14:49:48.929;INEM;88.877
14:49:50.951;INEM;261.576
14:49:52.629;INEM;286.273
14:49:54.679;INEM;96.169
14:49:57.260;INEM;101.244
14:49:58.763;INEM;108.695
14:50:00.983;INEM;182.281
14:50:01.927;INEM;119.003
14:50:04.749;INEM;590.046
14:50:05.806;INEM;11.626
14:50:09.295;INEM;524.456
14:50:15.313;INEM;15.532
14:50:20.660;INEM;173.699
14:50:21.135;INEM;222.735
14:50:21.486;INEM;57.572
14:50:25.589;INEM;149.591
14:50:26.719;INEM;108.747
14:50:28.856;112;83.415
14:50:28.967;INEM;586.668
14:50:29.627;INEM;289.657
14:50:30.446;112;135.128
14:50:32.065;INEM;67.433
14:50:32.923;INEM;221.028
14:50:37.674;INEM;18.441
14:50:38.255;INEM;303.597
14:50:47.451;112;4.588
14:50:50.452;INEM;43.629
14:50:59.134;112;43.354
14:51:00.643;INEM;214.000
14:51:01.228;112;6.486
14:51:04.569;INEM;282.224
14:51:07.372;INEM;58.679
14:51:07.666;INEM;253.578
14:51:14.642;INEM;273.539
14:51:15.262;INEM;240.570
14:51:15.319;INEM;117.529
14:51:15.630;INEM;536.029
14:51:18.224;INEM;143.023
14:51:20.272;112;115.639
14:51:27.193;INEM;160.776
14:51:28.945;INEM;304.324
14:51:33.357;INEM;274.966
14:51:33.906;INEM;537.910
14:51:35.507;INEM;92.680
14:51:36.557;INEM;2.341
14:51:40.083;INEM;46.870
14:51:42.355;INEM;672.152
14:51:42.591;INEM;218.780
14:51:43.041;INEM;346.239
14:51:43.246;INEM;848.761
14:51:44.370;112;77.302
14:51:44.724;112;295.724
14:51:48.893;INEM;195.215
14:51:50.301;INEM;8.454
14:52:03.493;INEM;742.163
14:52:10.357;INEM;359.585
14:52:12.484;INEM;451.214
14:52:17.774;INEM;447.565
14:52:18.251;INEM;169.995
14:52:21.158;INEM;419.170
14:52:25.688;INEM;781.227
14:52:26.402;INEM;7.313
14:52:28.663;112;3.297
14:52:33.588;112;92.634
14:52:39.849;INEM;727.386
14:52:42.544;112;346.990
14:52:44.771;INEM;15.642
14:52:49.703;INEM;172.365
14:52:50.008;INEM;520.860
14:52:50.720;INEM;1229.894
14:52:51.708;112;230.062
14:53:01.803;112;42.753
14:53:02.363;INEM;710.212
14:53:07.489;112;5.971
14:53:07.929;INEM;290.203
14:53:10.282;INEM;206.699
14:53:13.482;INEM;152.035
14:53:18.940;INEM;132.834
14:53:20.560;INEM;9.486
14:53:25.041;INEM;254.051
14:53:26.721;INEM;1166.580
14:53:30.106;INEM;929.413
14:53:31.876;INEM;69.276
14:53:38.663;112;31.569
14:53:42.333;INEM;143.200
14:53:43.446;112;93.329
14:53:43.562;INEM;40.624
14:53:44.064;INEM;67.805
14:53:44.959;112;88.966
14:53:44.977;112;28.511
14:53:45.660;112;89.245
14:53:47.165;112;14.659
14:53:48.493;112;67.628
14:53:48.641;INEM;554.325
14:53:53.215;112;49.166
14:53:54.493;INEM;240.624
14:53:54.845;INEM;273.244
14:53:56.214;INEM;421.031
14:53:57.659;INEM;363.131
14:54:00.214;INEM;318.416
14:54:00.231;INEM;331.533
14:54:04.333;INEM;160.446
14:54:08.504;INEM;146.210
14:54:14.424;INEM;410.369
14:54:16.058;INEM;342.534
14:54:16.530;INEM;91.366
14:54:17.873;INEM;48.423
14:54:19.352;INEM;28.257
14:54:19.497;INEM;60.531
14:54:21.714;INEM;22.236
14:54:24.351;INEM;132.714
14:54:24.869;INEM;14.490
14:54:25.203;INEM;506.553
14:54:26.899;112;28.239
14:54:27.079;INEM;230.800
14:54:35.079;INEM;146.207
14:54:37.181;112;245.732
14:54:38.536;112;170.676
14:54:45.669;INEM;242.072
14:54:47.594;INEM;220.592
14:54:56.260;INEM;55.664
14:55:00.116;INEM;569.944
14:55:05.417;INEM;14.889
14:55:09.626;INEM;254.916
14:55:17.378;INEM;73.617
14:55:18.115;INEM;303.120
14:55:21.000;INEM;383.238
14:55:22.887;INEM;13.349
14:55:22.954;112;149.654
14:55:23.778;INEM;35.527
14:55:25.785;INEM;291.796
14:55:30.144;INEM;194.597
14:55:32.261;112;75.869
14:55:32.663;112;0.529
14:55:32.754;112;0.539
14:55:37.724;INEM;246.953
14:55:37.913;INEM;27.487
14:55:39.695;INEM;138.340
14:55:43.257;INEM;32.950
14:55:43.309;INEM;439.678
14:55:45.271;INEM;1248.887
14:55:50.352;112;169.091
14:55:54.768;INEM;77.988
14:55:55.325;INEM;201.786
14:55:58.463;INEM;70.398
14:55:58.495;112;76.104
14:56:05.300;INEM;41.220
14:56:05.378;INEM;143.300
14:56:06.599;112;38.738
14:56:07.718;INEM;202.135
14:56:09.729;INEM;151.531
14:56:10.036;INEM;775.123
14:56:10.118;112;32.361
14:56:16.434;INEM;305.550
14:56:19.457;112;163.582
14:56:20.983;INEM;246.414
14:56:21.642;INEM;459.791
14:56:25.623;INEM;58.589
14:56:26.490;INEM;4.187
14:56:28.541;INEM;32.032
14:56:29.247;INEM;349.850
14:56:31.415;112;28.541
14:56:32.839;112;171.967
14:56:33.677;112;29.315
14:56:35.231;INEM;311.796
14:56:35.489;112;194.356
14:56:38.435;INEM;279.747
14:56:38.442;INEM;55.409
14:56:39.023;INEM;227.578
14:56:39.112;INEM;283.436
14:56:39.354;INEM;43.390
14:56:39.694;INEM;125.235
14:56:41.405;112;139.942
14:56:42.246;INEM;209.601
14:56:42.486;112;98.573
14:56:43.116;112;157.607
14:56:46.835;INEM;412.116
14:56:59.058;INEM;487.574
14:56:59.102;INEM;7.942
14:57:00.192;INEM;246.075
14:57:01.689;INEM;197.149
14:57:07.805;INEM;517.789
14:57:08.498;INEM;86.532
14:57:09.068;INEM;278.456
14:57:15.267;112;79.146
14:57:15.755;INEM;143.903
14:57:17.078;INEM;10.860
14:57:17.481;112;318.694
14:57:20.596;INEM;205.971
14:57:21.254;112;120.004
14:57:22.647;112;18.186
14:57:23.446;112;87.188
14:57:23.626;INEM;64.121
14:57:27.661;INEM;60.331
14:57:27.842;INEM;104.594
14:57:29.853;112;67.675
14:57:31.060;112;323.572
14:57:34.755;112;140.024
14:57:36.078;112;1.125
14:57:39.860;INEM;402.699
14:57:40.780;INEM;124.573
14:57:43.767;INEM;55.974
14:57:49.454;INEM;174.859
14:57:49.756;INEM;311.091
14:57:50.412;INEM;605.772
14:57:52.687;INEM;181.716
14:57:59.336;INEM;6.856
14:58:06.786;INEM;370.218
14:58:07.083;INEM;175.900
14:58:10.540;INEM;166.563
14:58:10.920;INEM;1074.240
14:58:11.700;112;23.940
14:58:14.038;INEM;5.307
14:58:14.977;112;68.423
14:58:16.671;112;125.651
14:58:17.714;INEM;429.875
14:58:25.086;INEM;178.273
14:58:27.619;112;211.569
14:58:28.956;INEM;303.193
14:58:31.617;INEM;663.180
14:58:38.298;INEM;475.747
14:58:38.732;INEM;46.907
14:58:39.309;INEM;108.842
14:58:39.929;INEM;537.046
14:58:41.504;INEM;11.496
14:58:45.479;INEM;158.384
14:58:50.907;INEM;209.686
14:58:55.647;INEM;110.147
14:58:57.686;INEM;580.480
14:58:58.733;112;3.177
14:59:10.160;INEM;197.757
14:59:11.385;INEM;43.659
14:59:16.394;112;105.871
14:59:17.423;112;81.884
14:59:17.546;112;143.682
14:59:18.206;INEM;471.981
14:59:18.482;112;74.422
14:59:25.531;INEM;231.252
14:59:28.095;INEM;217.078
14:59:31.097;112;140.920
14:59:32.995;112;66.455
14:59:34.911;INEM;509.352
14:59:40.177;INEM;86.247
14:59:46.579;INEM;75.690
14:59:54.794;112;50.594
14:59:56.910;112;24.473
14:59:58.850;112;83.672
15:00:01.375;INEM;122.419
15:00:02.004;INEM;429.605
15:00:02.668;INEM;64.331
15:00:03.122;INEM;51.526
15:00:03.378;INEM;349.416
15:00:05.625;INEM;239.316
15:00:05.932;INEM;201.159
15:00:08.939;INEM;283.815
15:00:10.444;INEM;1.413
15:00:11.390;INEM;149.449
15:00:14.927;INEM;379.577
15:00:15.571;INEM;47.245
15:00:17.331;INEM;170.516
15:00:22.349;INEM;115.487
15:00:28.575;INEM;59.851
15:00:31.833;INEM;256.300
15:00:31.849;INEM;136.406
15:00:39.909;INEM;174.990
15:00:42.648;112;13.736
15:00:42.742;INEM;680.651
15:00:45.594;112;7.929
15:00:47.674;INEM;1694.312
15:00:48.844;INEM;14.110
15:00:49.570;112;20.460
15:00:49.755;INEM;10.168
15:00:50.637;INEM;142.268
15:00:52.868;INEM;132.180
15:00:53.971;INEM;62.162
15:00:54.116;INEM;35.938
15:00:58.518;INEM;268.700
15:00:59.939;INEM;45.623
15:01:01.540;INEM;66.669
15:01:08.056;INEM;210.766
15:01:08.825;INEM;57.783
15:01:09.518;INEM;395.098
15:01:10.093;INEM;41.218
15:01:10.999;INEM;24.189
15:01:15.937;112;102.950
15:01:16.877;112;350.829
15:01:18.669;INEM;359.373
15:01:19.852;INEM;78.269
15:01:20.021;112;0.601
15:01:20.254;INEM;1077.254
15:01:26.352;INEM;325.633
15:01:27.470;112;115.209
15:01:28.640;INEM;496.955
15:01:29.768;112;42.804
15:01:30.804;INEM;161.455
15:01:33.012;112;13.129
15:01:35.315;INEM;63.429
15:01:36.077;INEM;15.303
15:01:38.231;INEM;373.631
15:01:49.559;112;27.702
15:01:50.279;INEM;88.831
15:01:54.162;INEM;13.384
15:01:55.197;INEM;140.138
15:01:57.583;INEM;195.495
15:01:58.129;INEM;63.209
15:01:58.422;INEM;192.706
15:01:59.711;INEM;294.307
15:02:04.944;INEM;120.953
15:02:08.957;INEM;84.949
15:02:11.949;INEM;54.696
15:02:14.459;INEM;48.387
15:02:14.763;INEM;533.774
15:02:16.236;INEM;103.395
15:02:17.296;INEM;40.569
15:02:17.725;INEM;91.464
15:02:18.233;INEM;220.110
15:02:21.820;INEM;293.952
15:02:22.449;INEM;217.535
15:02:26.278;INEM;4.020
15:02:28.846;INEM;10.806
15:02:29.760;112;5.373
15:02:36.004;INEM;383.386
15:02:40.514;INEM;68.875
15:02:42.034;INEM;1517.584
15:02:44.164;INEM;495.683
15:02:44.291;INEM;476.644
15:02:45.496;INEM;653.569
15:02:49.169;INEM;925.101
15:02:49.452;INEM;9.923
15:02:50.293;INEM;281.686
15:02:56.181;112;88.180
15:02:56.558;INEM;277.668
15:02:58.880;112;85.458
15:03:02.032;INEM;124.632
15:03:06.414;INEM;434.899
15:03:10.434;112;58.529
15:03:16.435;112;397.168
15:03:19.698;INEM;172.082
15:03:21.421;INEM;37.041
15:03:23.596;INEM;10.400
15:03:23.973;INEM;62.675
15:03:24.383;112;127.125
15:03:24.648;INEM;633.022
15:03:26.163;112;7.399
15:03:26.417;112;61.512
15:03:26.605;INEM;145.472
15:03:28.226;INEM;377.878
15:03:31.220;INEM;1022.360
15:03:35.689;INEM;188.974
15:03:48.818;112;94.832
15:03:51.137;INEM;2.649
15:03:52.278;112;13.622
15:03:55.307;INEM;553.820
15:04:02.799;112;29.100
15:04:07.482;INEM;22.048
15:04:09.012;INEM;216.424
15:04:12.148;112;55.564
15:04:14.167;112;92.418
15:04:21.847;112;194.860
15:04:28.760;INEM;47.924
15:04:37.805;INEM;145.434
15:04:38.169;INEM;420.455
15:04:38.716;112;63.848
15:04:38.807;INEM;174.073
15:04:40.353;INEM;385.471
15:04:45.523;INEM;226.846
15:04:45.758;INEM;80.048
15:05:05.663;INEM;177.111
15:05:12.409;112;36.747
15:05:12.494;112;217.377
15:05:13.412;INEM;241.680
15:05:13.925;INEM;200.537
15:05:15.115;INEM;227.399
15:05:24.246;INEM;73.432
15:05:26.054;INEM;276.201
15:05:29.579;INEM;33.545
15:05:30.031;112;85.904
15:05:31.559;INEM;141.077
15:05:31.742;112;120.154
15:05:33.586;INEM;280.982
15:05:35.775;112;7.671
15:05:36.265;112;19.468
15:05:39.491;INEM;26.929
15:05:41.237;INEM;122.894
15:05:42.832;112;368.621
15:05:44.063;INEM;28.634
15:05:45.089;INEM;33.445
15:05:45.153;112;39.846
15:05:45.326;INEM;187.671
15:05:45.985;INEM;78.323
15:05:48.366;112;77.860
15:05:53.459;112;26.212
15:05:56.142;INEM;176.940
15:05:59.799;INEM;6.921
15:06:01.813;INEM;57.920
15:06:02.560;112;16.025
15:06:04.670;INEM;165.164
15:06:05.849;INEM;733.051
15:06:08.404;INEM;89.156
15:06:11.046;INEM;195.585
15:06:12.971;INEM;303.205
15:06:14.542;INEM;267.199
15:06:15.736;INEM;1318.708
15:06:17.918;INEM;259.758
15:06:19.713;INEM;104.016
15:06:19.714;INEM;114.122
15:06:21.123;112;116.786
15:06:21.735;INEM;860.436
15:06:22.494;INEM;357.374
15:06:24.023;INEM;4.313
15:06:24.073;INEM;68.347
15:06:26.921;112;30.617
15:06:27.852;INEM;346.759
15:06:27.987;112;102.072
15:06:28.942;INEM;223.325
15:06:32.561;INEM;6.933
15:06:35.620;INEM;17.235
15:06:37.055;INEM;497.755
15:06:37.221;INEM;661.354
15:06:38.568;INEM;42.032
15:06:47.127;INEM;197.496
